sep=;
id;title;description;type;required;options;placeholder
attendance;Вы сможете быть с нами?;Нам важно заранее понимать количество гостей.;radio;true;Да, с радостью буду|Пока не уверен(а)|К сожалению, не смогу;
drink;Что подготовить для вас из напитков?;Можно выбрать несколько вариантов.;checkbox;true;Шампанское|Вино|Безалкогольные напитки|Крепкий алкоголь;
plusOne;Будете ли вы с парой?;;radio;true;Буду один/одна|Буду с парой|Пока не знаю;
comment;Есть ли особенности питания или пожелания?;;textarea;false;;Аллергии, особенности питания или просто тёплые слова
